iter	Logloss
0	0.6617531012
1	0.6371431836
2	0.6095612082
3	0.5895085326
4	0.5677031572
5	0.5513266445
6	0.5271985179
7	0.5136031776
8	0.4969876771
9	0.4826444532
10	0.4731252786
11	0.4644934725
12	0.4566609042
13	0.4448467298
14	0.4374120146
15	0.4277936944
16	0.422695921
17	0.4180629107
18	0.4091508936
19	0.405318613
20	0.3923626108
21	0.3894329017
22	0.3835278299
23	0.3788053875
24	0.3765590126
25	0.3719176495
26	0.3701617496
27	0.3663033654
28	0.3600585114
29	0.3554760786
30	0.3499845997
31	0.347447962
32	0.3465362638
33	0.3454238765
34	0.3446656295
35	0.3400816822
36	0.3380763552
37	0.3375087069
38	0.3370105146
39	0.3302213046
40	0.3234013125
41	0.3188876232
42	0.3149292695
43	0.3105985472
44	0.3089842674
45	0.3032007313
46	0.3019593351
47	0.3018350729
48	0.3016658347
49	0.2975939598
50	0.2975135141
51	0.2937958398
52	0.292035143
53	0.2912773901
54	0.2902815174
55	0.2880607797
56	0.28738888
57	0.2867101265
58	0.2866825727
59	0.2866572833
60	0.2859995123
61	0.2799841689
62	0.2772670917
63	0.2772575838
64	0.2738372167
65	0.2715246267
66	0.270959673
67	0.2690972079
68	0.2684391948
69	0.2659868388
70	0.2635227401
71	0.2623501627
72	0.2623493077
73	0.2623485223
74	0.2606777194
75	0.2603533198
76	0.2584428
77	0.2548767478
78	0.254876664
79	0.2548765979
80	0.2525019864
81	0.2525019863
82	0.2523824575
83	0.2498971909
84	0.2478297034
85	0.2465150164
86	0.2457842869
87	0.2457432487
88	0.2441662156
89	0.2441660967
90	0.2431932641
91	0.2420299156
92	0.2399240298
93	0.2385197567
94	0.2378195126
95	0.2369154485
96	0.236915172
97	0.2360990053
98	0.2341980665
99	0.2341241165
100	0.2341238475
101	0.2337176068
102	0.231634406
103	0.2300283623
104	0.2300125174
105	0.228593604
106	0.2280940294
107	0.2280933425
108	0.2280927113
109	0.227920567
110	0.2279200193
111	0.2279195159
112	0.2279190535
113	0.2258648178
114	0.2253115729
115	0.2251979966
116	0.2250101964
117	0.2245370024
118	0.2237206592
119	0.2233330708
120	0.2209657848
121	0.2209654996
122	0.2185033238
123	0.2183746989
124	0.2167884512
125	0.2165350258
126	0.216534707
127	0.2154825886
128	0.2154823914
129	0.2154822101
130	0.2154820435
131	0.2154492587
132	0.2151991786
133	0.215016239
134	0.2126414385
135	0.2114902299
136	0.2099515218
137	0.2090353392
138	0.2073435047
139	0.2064752648
140	0.2064750877
141	0.2064749249
142	0.2064525974
143	0.2049130753
144	0.2049091834
145	0.2034332531
146	0.2022085461
147	0.2022085452
148	0.2013506671
149	0.2012692218
150	0.2007980361
151	0.1989785827
152	0.1989005168
153	0.1989005117
154	0.1981199096
155	0.1980490441
156	0.197193151
157	0.1962215369
158	0.1960987036
159	0.1958490911
160	0.1957322139
161	0.1955948396
162	0.1948389309
163	0.1946748148
164	0.1946748082
165	0.1944828717
166	0.1932958711
167	0.1932958541
168	0.1923297533
169	0.1918667632
170	0.1916350928
171	0.1914764673
172	0.1914764022
173	0.191345572
174	0.1913455701
175	0.191040707
176	0.1910406481
177	0.1909739735
178	0.1909739248
179	0.1909077036
180	0.190900003
181	0.1897858113
